Deadlines,NormalizedPerf
1700,0.5167389246786553
1800,0.460979337770586
1900,0.4563312902634873
2000,0.4563312902634873
2100,0.4177033401520472
2200,0.3959236558483192
2300,0.3959236558483192
2400,0.37442734253350846
2500,0.3355160214331512
2600,0.3355160214331512
2700,0.3355160214331512
2800,0.3355160214331512
2900,0.3355160214331512
3000,0.29331664275028246
3100,0.2916064940616127
3200,0.2878753472964309
3300,0.27510838701798307
3400,0.27510838701798307
3500,0.27510838701798307
3600,0.27510838701798307
3700,0.27510838701798307
3800,0.24459934967789215
3900,0.24459934967789215
4000,0.24459934967789215
4100,0.2148719201294538
4200,0.2148719201294538
4300,0.2148719201294538
4400,0.2148719201294538
4500,0.2148719201294538
4600,0.2148719201294538
4700,0.214700752602815
4800,0.214700752602815
4900,0.214700752602815
5000,0.214700752602815
5100,0.214700752602815
5200,0.214700752602815
5300,0.214700752602815
5400,0.17650463316337436
5500,0.17650463316337436
5600,0.17650463316337436
5700,0.17650463316337436
5800,0.17650463316337436
5900,0.17650463316337436
6000,0.17650463316337436
6100,0.16186208133606084
6200,0.1580473544408146
6300,0.1580473544408146
6400,0.1580473544408146
6500,0.1580473544408146
6600,0.1580473544408146
6700,0.1580473544408146
6800,0.1580473544408146
6900,0.1580473544408146
7000,0.1580473544408146
7100,0.1580473544408146
7200,0.1580473544408146
7300,0.1580473544408146
7400,0.1542931181876469
7500,0.1542931181876469
7600,0.1542931181876469
7700,0.1542931181876469
7800,0.1542931181876469
7900,0.1542931181876469
8000,0.1542931181876469
8100,0.1542931181876469
8200,0.1542931181876469
8300,0.1542931181876469
8400,0.1542931181876469
8500,0.1542931181876469
8600,0.1542931181876469
8700,0.1542931181876469
8800,0.1542931181876469
8900,0.1542931181876469
9000,0.1542931181876469
9100,0.1542931181876469
9200,0.1542931181876469
9300,0.11477135682227588
9400,0.11477135682227588
9500,0.11477135682227588
9600,0.11477135682227588
9700,0.11477135682227588
9800,0.11477135682227588
9900,0.11477135682227588
10000,0.11477135682227588
10100,0.11477135682227588
10200,0.11477135682227588
10300,0.11477135682227588
10400,0.11477135682227588
10500,0.11477135682227588
10600,0.11477135682227588
10700,0.11477135682227588
10800,0.11477135682227588
10900,0.11477135682227588
11000,0.11477135682227588
11100,0.11477135682227588
11200,0.11477135682227588
11300,0.11477135682227588
11400,0.11477135682227588
11500,0.11477135682227588
11600,0.11477135682227588
11700,0.11477135682227588
